node_id,x_coord,y_coord,seq,r_time
5059.0,120.17675001952051,35.95007866034907,0,0
2763.0,120.1757496,35.95116859999999,1,6
139.0,120.17567690000001,35.9512492,2,12
5060.0,120.17670605298882,35.95170372192557,3,18
138.0,120.17937420000001,35.9528821,4,25
137.0,120.1820518,35.9539214,5,31
136.0,120.1821699,35.9539665,6,37
5061.0,120.18208198481422,35.9552368888,7,43
2025.0,120.18204750000001,35.9557352,8,50
5062.0,120.18190950780556,35.95767031819021,9,56
1399.0,120.18185509999999,35.958433299999996,10,62
212.0,120.1817373,35.9584289,11,68
211.0,120.18146229999999,35.9624543,12,75
1831.0,120.18050990000002,35.962416299999994,13,81
5063.0,120.18034560408516,35.96241169820404,14,87
1830.0,120.17981370000001,35.9623968,15,93
1726.0,120.1797113,35.9623941,16,100
1829.0,120.178924,35.96217929999999,17,106
1755.0,120.17780159999998,35.96187310000001,18,112
1828.0,120.17678870000002,35.9613901,19,118
5064.0,120.17652833808607,35.96126592253376,20,125
1827.0,120.17604709999999,35.9610364,21,131
1826.0,120.1758118,35.9609242,22,137
1825.0,120.1746081,35.9603502,23,143
1824.0,120.17451799999999,35.9603072,24,150
1817.0,120.17364950000001,35.9598931,25,156
1823.0,120.1727347,35.959638700000006,26,162
1822.0,120.1717838,35.95937429999999,27,168
3581.0,120.171774,35.95942539999999,28,175
3586.0,120.1716476,35.9594016,29,181
5065.0,120.17143526877474,35.96054773758602,30,187
2144.0,120.171158,35.962044399999996,31,193
121.0,120.1708679,35.9636532,32,200
2219.0,120.17101459999999,35.9636311,33,206
5066.0,120.1710081472365,35.965596553095324,34,212
1765.0,120.17100579999999,35.966311499999996,35,218
3438.0,120.17200690000001,35.9683806,36,225
195.0,120.17272879999999,35.9698229,37,231
3582.0,120.1727801,35.9699262,38,237
3585.0,120.17266550000001,35.96996420000001,39,243
5067.0,120.17173704275429,35.970272611766795,40,250
3412.0,120.1711094,35.9704811,41,256
3414.0,120.16958999999999,35.9709857,42,262
5068.0,120.16863864310244,35.97130165680701,43,268
2801.0,120.1672706,35.971756,44,275
1772.0,120.1695344,35.9763742,45,281
1743.0,120.16956850000001,35.9764391,46,287
5069.0,120.16965568770088,35.977186657129586,47,293
2802.0,120.1699571,35.979771,48,300
5070.0,120.1699375126116,35.979603055534305,49,306
2802.0,120.1699571,35.979771,50,312
2803.0,120.1696757,35.981424,51,318
